ACEGUA,8889621.64,4942,1798.7902954269528,1551.339,0.687,20.41,26548533.75,23549109.68,51069.07
AGUA SANTA,6353422.28,3743,1697.4144483035,291.503,0.75,69.77,25897400.87,20012529.849999998,88151.28
AGUDO,10014811.71,16401,610.622017559905,534.624,0.694,12.42,63192464.870000005,51366673.37,30258.08
AJURICABA,6669565.67,6987,954.5678646056963,322.674,0.753,14.71,26396043.14,21630982.89,42299.19
ALECRIM,3967990.44,5827,680.9662673760082,316.394,0.672,33.9,22917276.03,20554573.759999998,18159.02
ALEGRETE,43231709.75,73028,591.9881381114093,7800.428,0.74,13.51,225019541.07999998,199319405.83,29467.27
ALEGRIA,3501326.17,3374,1037.7374540604624,172.794,0.695,26.32,21841344.83,17891139.490000002,31929.57
ALMIRANTE TAMANDARE,4642825.300000001,1949,2382.1576706003084,265.042,0.74,41.67,16595423.98,13286489.47,83157.15
ALPESTRE,20094829.12,6067,3312.152483929455,325.979,0.671,13.89,50164466.72,39342562.05,76014.58
ALTO ALEGRE,2086506.0399999998,1613,1293.556131432114,115.335,0.747,47.62,14976064.200000001,13265165.96,40017.04
ALTO FELIZ,3095716.86,3036,1019.6695849802371,78.846,0.734,31.25,20197814.099999998,13761353.010000002,31143.68
ALVORADA,23228815.689999998,211352,109.90582388621824,71.7,0.699,10.11,358403061.81,290560430.64,12914.08
AMARAL FERRADOR,3740561.2299999995,7085,527.9550077628793,505.983,0.624,17.54,18819766.619999997,16883055.7,14085.63
AMETISTA DO SUL,4326184.52,7403,584.3826178576252,93.704,0.682,25.97,24884773.6,21341452.990000002,16218.9
ANDRE DA ROCHA,2981009.59,1343,2219.6646239761726,331.227,0.72,66.67,13615322.63,11441323.15,83234.43
ANTA GORDA,6058704.899999999,5961,1016.3906894816305,242.26,0.74,17.86,26400227.459999997,18964882.59,35792.01
ANTONIO PRADO,12224969.33,13045,937.1383158298198,348.132,0.758,16,52701150.690000005,39358594.78,46929.32
ARAMBARE,4109195.4299999992,3562,1153.6202779337448,518.193,0.691,24.39,19350070.54,17402419.11,33616.2
ARARICA,2726193.59,5771,472.39535435799684,35.391,0.679,10.53,28056289.81,27235365.44,28896.53
ARATIBA,25349711.439999998,6189,4095.930108256584,342.279,0.772,20,53325658.05,41529680.31,127640.3
ARROIO DO MEIO,23002439.619999997,20967,1097.0782477226116,157.088,0.769,25.64,74592769.21,66199839.980000004,59080.01
ARROIO DO PADRE,2222888.6800000006,10279,216.2553439050492,119.163,0.74,16.95,55278993.08,44607806.510000005,22719.58
ARROIO DO SAL,3025371.99,2951,1025.202300914944,124.693,0.669,35.71,15514877.370000001,12969974.81,15583.92
ARROIO DO TIGRE,6915636.02,14177,487.8067306200183,425.791,0.698,5.92,39356104.78,40049526.980000004,18526.84
ARROIO DOS RATOS,5455238.41,13413,406.7127719376724,315.132,0.707,6.17,34764392.64,34048157.89,25173.18
ARROIO GRANDE,17364252.260000005,18238,952.091910297182,2508.545,0.657,4.55,63823388.41,51641092.74,29608.24
ARVOREZINHA,5310856.99,10423,509.5324752950207,270.241,0.694,8.77,35872639.32,29425308.669999998,23846.62
AUGUSTO PESTANA,7479960.220000002,6602,1132.983977582551,348.231,0.743,13.16,27924080.95,23858715.069999997,50680.21
AUREA,3108529.44,3535,879.3576916548798,156.727,0.707,58.82,16465174.900000002,14531322.15,30231.78
BAGE,25300164.450000003,121335,208.51497465694155,4090.36,0.74,17.64,343433628.12,352375094.62,24620.88
BALNEARIO PINHAL,2649112.79,14363,184.4400744969714,102.386,0.696,13.99,51658836.589999996,40349653.910000004,15745.16
BARAO,6475452.329999999,6202,1044.0909916156077,124.113,0.748,31.75,28504951.27,22700871.09,34635.32
BARAO DO COTEGIPE,6504434.100000001,6620,982.542915407855,260.505,0.719,9.62,22423352.29,18698722.14,32944.09
BARAO DO TRIUNFO,3258372.46,7519,433.35183668040963,436.101,0.61,13.7,22103736.62,18307818.47,14899.99
BARRA DO GUARITA,2216177.0,5256,421.6470700152207,515.469,0.71,15.38,23283591.77,20402345.77,41223.77
BARRA DO QUARAI,5900512.760000001,3257,1811.6403929996932,62.801,0.734,19.23,17288612.98,11528531.61,12980.24
BARRA DO RIBEIRO,6574563.859999999,4227,1555.3735178613672,1055.937,0.662,18.87,22275855.64,18478579.2,41512.15
BARRA DO RIO AZUL,2266131.2499999995,13556,167.16813588079077,729.316,0.67,18.4,36620742.56,31563989.41,23808.18
BARRA FUNDA,3743329.0100000002,1655,2261.8302175226586,146.995,0.723,55.56,18332593.400000002,13199761.270000001,28324.42
BARRACAO,6266744.180000001,2551,2456.58337122697,60.437,0.763,27.78,20920752.6,15998351.129999999,51934.53
BARROS CASSAL,4327388.170000001,11182,386.995901448757,647.994,0.65,9.62,35255253.11,25036505.55,18267.07
BENJAMIN CONST. SUL,2187489.6799999997,1958,1117.206169560776,132.351,0.619,41.67,13956395.68,12934157.88,15705.07
BENTO GONCALVES,71792097.47,121803,589.4115700762707,273.576,0.778,10.38,499680208.21000004,409196831.59999996,50090.88
BOA VISTA DAS MISSOE,2636192.4699999997,2092,1260.1302437858508,196.064,0.676,29.41,17672445.459999997,13862731.229999999,74115.58
BOA VISTA DO BURICA,5323994.81,6712,793.205424612634,109.541,0.762,22.99,29753104.34,23270488.02,31944.72
BOA VISTA DO CADEADO,7880519.39,2468,3193.079169367909,701.221,0.703,41.67,22315283.59,17560949.27,111358.71
BOA VISTA DO INCRA,5709205.399999999,2616,2182.417966360856,504.114,0.731,21.74,18590778.57,15342665.83,78059.04
BOA VISTA DO SUL,5975406.4399999995,2778,2150.9742404607628,92.956,0.728,71.43,23858675.21,18636135.72,32609.62
BOM JESUS,12069494.12,11309,1067.2468051993988,2622.837,0.666,12.12,39922421.260000005,38042211.730000004,29455.96
BOM PRINCIPIO,10659873.87,14255,747.7989386180287,88.774,0.746,11.83,55399869.61,46618538.86,47015.72
BOM PROGRESSO,2511568.47,1899,1322.574233807267,89.206,0.723,29.41,13815774.48,12414336.48,26576.4
BOM RETIRO DO SUL,5418751.430000001,12390,437.3487836965295,102.54,0.739,12.12,32956164.360000003,28906300.97,24714.62
BOQUEIRAO DO LEAO,4059553.9999999995,7702,527.077901843677,265.952,0.7,31.25,25855660.84,20691740.14,17035.2
BOSSOROCA,8966298.71,6205,1445.0118791297343,1610.056,0.692,18.52,36220002.339999996,28267859.6,51819.37
BOZANO,3928462.5700000003,2111,1860.9486357176695,200.497,0.745,45.45,14320447.03,12588726.53,72960.7
BRAGA,2563024.0799999996,3311,774.0936514648141,132.044,0.674,19.61,15109453.600000001,13453969.85,25280.38
BROCHIER,3586276.1499999994,5104,702.640311520376,105.353,0.699,20,24671282.759999998,20390277.150000002,16588.07
BUTIA,6958150.119999999,20952,332.0995666284841,752.187,0.689,12.35,51269888.830000006,48652683.24,21264.2
CACAPAVA DO SUL,23442758.98,33548,698.7826093954931,3047.113,0.704,13.66,104304782.14,96550585.30000001,24228.03
CACEQUI,9372913.809999999,12423,754.4807059486435,2373.507,0.7,10.2,50754641.86000001,37893479.07,26938.69
CACHOEIRA DO SUL,29770145.449999996,81869,363.631477726612,3736.158,0.742,7.02,229150140.04999998,220437533.82000002,28528.77
CACHOEIRINHA,72280243.33,131240,550.748577644011,43.778,0.757,8.98,397285386.96,353604786.45,40778.59
CACIQUE DOBLE,3524732.12,5074,694.665376428853,204.055,0.662,32.79,20873499.8,16570444.83,22514.36
CAIBATE,3111199.13,4823,645.0754986522911,261.303,0.719,21.74,23000540.28,6899456.46,36721.95
CAICARA,2981636.0500000003,4700,634.3906489361702,189.16,0.699,18.52,21044922.4,16441854.56,21186.87
CAMAQUA,36264293.49999999,66478,545.5081906796232,1680.168,0.697,17.81,179124119.0,152356303.86,30465.98
CAMARGO,6732236.64,2742,2455.228533916849,138.069,0.736,37.04,18751736.099999998,15998181.01,60853.95
CAMBARA DO SUL,4989763.250000001,6406,778.9202700593195,1181.811,0.697,15.63,27082760.38,23798824.72,28008.65
CAMPESTRE DA SERRA,5781016.94,3395,1702.8032223858618,537.994,0.706,74.07,19492707.09,17085866.25,50780.76
CAMPINA DAS MISSOES,3793048.0,5398,702.6765468692108,224.801,0.738,16.95,25398232.31,21983458.82,27450.04
CAMPINAS DO SUL,5904953.129999998,5438,1085.8685417432876,276.162,0.76,18.52,22542712.14,19560178.619999997,40461.26
CAMPO BOM,33444612.24,69458,481.5084258112816,60.579,0.745,4.42,295667573.45000005,223333197.19,47163.5
CAMPO NOVO,3971448.440000001,4376,907.5522029250459,220.719,0.703,11.76,19491587.790000003,17638815.14,45569.06
CAMPOS BORBES,2633193.61,3295,799.1482883156297,226.202,0.708,17.54,19979979.78,16505202.51,29714.95
CANDELARIA,15636047.95,31421,497.6305003023455,944.058,0.674,15.53,92299970.8,74456989.89,26579.24
CANDIDO GODOI,5895056.08,6151,958.3898683140952,247.047,0.728,21.28,27554152.65,22357002.11,38102.02
CANDIOTA,12384795.120000001,9647,1283.79756608272,933.628,0.698,7.69,60622883.48,49151989.9,66192.85
CANELA,13193911.27,45488,290.05256924903273,253.002,0.748,10.8,150158767.23999998,139251530.41,25378.74
CANGUCU,24609129.380000003,56211,437.79917418298913,3526.253,0.65,15.38,161314128.20000002,132705375.91,19932.46
CANOAS,488033239.35000014,348208,1401.5566539252404,130.789,0.75,8.62,1696189306.7,1511073044.85,55594.2
CANUDOS DO VALE,3282797.75,1705,1925.3945747800587,82.908,0.713,66.67,14798569.030000001,11649256.219999999,25040.62
CAPAO BONITO DO SUL,5190460.930000001,1641,3162.986550883608,526.85,0.637,55.56,16948247.060000002,14604307.280000001,118271.57
CAPAO DA CANOA,2440301.670000002,54051,45.14813176444473,98.29,0.743,15.64,214804365.35999998,191982067.35999998,27586.32
CAPAO DO CIPO,8923153.969999999,3699,2412.3152122195183,1007.796,0.672,35.71,24147849.93,19946168.08,89491.93
CAPAO DO LEAO,11061448.71,25409,435.33585383131964,783.624,0.637,21.05,61854145.78,55573083.839999996,20071.27
CAPELA DE SANTANA,4051405.6900000004,4728,856.8962965313029,412.889,0.766,21.28,21416846.35,19148513.98,45334.3
CAPITAO,6638114.64,12064,550.241598143236,182.595,0.661,7.87,35142838.0,27958525.99,17164.57
CAPIVARI DO SUL,5124883.840000001,2763,1854.825855953674,73.967,0.746,35.71,21044282.61,18205945.61,23671.55
CARAA,2867558.55,62265,46.05410021681522,666.694,0.766,12.39,247260226.85999998,205274168.65,48591.24
CARAZINHO,52930792.16,8350,6339.0170251497,294.456,0.652,45.45,23665950.06,20893657.889999997,13451.66
CARLOS BARBOSA,42170331.4,30241,1394.4754273998876,230.68,0.796,6.64,134175344.8,107434302.47,85997.12
CARLOS GOMES,1773983.5299999998,1351,1313.0892153960028,83.155,0.739,-,13093961.129999999,10925403.66,27714.78
CASCA,10449486.240000002,9051,1154.5117931720254,272.041,0.785,8.55,32602689.4,28589455.880000003,48621.48
CASEIROS,4317458.31,3216,1342.4932555970147,235.863,0.703,26.32,20258926.61,14000498.79,42539.09
CATUIPE,8659998.709999999,8701,995.2877496839443,583.184,0.739,35.71,29730563.79,26224634.099999998,43987.78
CAXIAS DO SUL,311016226.77000004,517451,601.0544510881224,1652.308,0.782,8.91,1943956488.08,1758354814.87,48959.4
CENTENARIO,3082650.960000001,2877,1071.4810427528678,134.23,0.701,60.61,15047603.26,12156034.98,25470.52
CERRITO,3420373.5700000003,6047,565.631481726476,451.699,0.649,20,21877957.11,17786055.14,15278.24
CERRO BRANCO,2669170.4200000004,4706,567.1845346366341,158.025,0.661,23.26,22828047.75,17549231.29,15482.58
CERRO GRANDE,1577330.5999999999,2296,686.9906794425086,73.438,0.674,33.33,16236366.190000001,13082012.19,24152.21
CERRO GRANDE DO SUL,3854163.7900000005,12413,310.494142431322,324.908,0.66,7.81,29144086.0,27192420.81,13284.89
CERRO LARGO,4762304.879999999,14189,335.63358094298394,176.643,0.764,13.33,47201373.18,42105724.76,52173.65
CHAPADA,10294974.87,9239,1114.2953642169066,684.247,0.757,14.71,42527391.7,35331692.349999994,50329.86
CHARQUEADAS,29404744.04,41258,712.7040583644384,217.362,0.747,5.45,117582829.95,104656384.65,42460.28
CHARRUA,3007369.0399999996,3252,924.7752275522754,198.748,0.62,30.3,15072803.809999999,12085119.9,27751.75
CHIAPETA,6575021.010000001,3719,1767.954022586717,397.179,0.732,17.86,20474642.380000003,17318541.46,56408.67
CHUI,6013229.42,6770,888.2170487444608,202.387,0.706,22.73,22187412.970000003,18799203.0,57139.27
CHUVISCA,2923704.01,5480,533.5226295620438,220.471,0.616,61.22,18391687.87,16082566.31,18909.13
CIDREIRA,2023726.6300000004,16583,122.036219622505,243.42,0.729,4.98,64061617.63999999,55416893.92,17575.91
CIRIACO,4097680.480000001,4719,868.3366136893411,274.35,0.719,58.82,21993928.16,17742465.080000002,31167.73
COLINAS,5026234.029999999,2469,2035.7367476711217,60.732,0.765,38.46,18400225.5,14119315.34,24097.69
COLORADO,5916860.620000001,3130,1890.3708051118215,286.295,0.758,41.67,23770048.31,18230229.09,65388.67
CONDOR,9385774.71,6759,1388.633630714603,463.568,0.747,12.05,34620939.41,28217671.75,57445.77
CONSTANTINA,7238047.27,9907,730.5993004945998,203.614,0.754,24,34866852.25,31729666.88,30642.99
COQUEIRO BAIXO,2468688.5499999993,1495,1651.2966889632103,112.439,0.692,285.71,13736835.25,12098703.76,22487.08
COQUEIROS DO SUL,3871157.78,2286,1693.4198512685914,277.147,0.746,47.62,19331415.31,14959060.93,52168.1
CORONEL BARROS,3997547.6,2520,1586.3284126984126,163.684,0.744,37.04,20534238.41,16595227.05,48213.49
CORONEL BICACO,6567622.83,7268,903.635502201431,492.303,0.665,11.11,35370868.67,24301260.92,40506.06
CORONEL PILAR,2738315.0799999996,1614,1696.6016604708796,105.447,0.727,66.67,15138039.02,10343473.61,24110.93
COTIPORA,5925551.99,3838,1543.916620635748,173.207,0.741,41.67,21260068.419999998,18039338.11,40870.16
COXILHA,6780034.920000001,2743,2471.7589938024066,422.101,0.706,31.25,20612125.080000002,15593650.540000001,79144.17
CRISSIUMAL,8224437.149999999,13357,615.7398480197648,362.194,0.712,7.52,41619497.43,37252241.260000005,25509.72
CRISTAL,5180527.16,8067,642.1875740671874,682.138,0.644,12.2,31927743.020000003,25180213.75,22553.79
CRISTAL DO SUL,2871296.1299999994,2844,1009.5977953586496,97.077,0.66,37.04,15033462.32,14644240.67,20636.29
CRUZ ALTA,32083826.61,59922,535.4264979473315,1360.548,0.75,6.96,153363771.04,143288813.72,65065.59
CRUZALTENSE,2890416.5899999994,1799,1606.6795942190101,166.883,0.719,47.62,14893472.39,12365563.14,45673.33
CRUZEIRO DO SUL,9529105.43,12402,768.3523165618449,155.058,0.723,9.43,33724296.67,30091972.4,29050.27
DAVID CANABARRO,4409760.03,4736,931.1148711993244,174.734,0.762,54.05,18124685.47,16647680.16,31003.4
DERRUBADAS,4137803.9300000006,2761,1498.6613292285406,360.851,0.707,34.48,18056309.689999998,14847942.530000001,28789.23
DEZESSEIS NOVEMBRO,2265635.35,2378,952.7482548359967,217.363,0.654,37.04,16564363.990000002,12933073.08,15928.74
DILERMANDO DE AGUIAR,4217598.34,3002,1404.9294936708861,600.518,0.648,41.67,20684153.490000002,14532210.67,47554.4
DOIS IRMAOS,14857431.309999999,33119,448.60748543132337,66.114,0.743,17.68,106704393.33000001,90620081.57,62157.03
DOIS IRMAOS MISSOES,3999224.14,2008,1991.6454880478088,226.072,0.67,35.71,15718875.4,13309732.309999999,56332.81
DOIS LAJEADOS,4373369.58,3405,1284.3963524229075,133.535,0.757,80,19161682.6,15301453.620000001,28422.03
DOM FELICIANO,7760170.18,15487,501.07639826951635,1355.195,0.587,13.33,41028692.53,39189235.94,15501.61
DOM PEDRITO,30925542.72,2527,12238.046189157103,78.219,0.691,47.62,17050224.08,13144867.11,21488.71
DOM PEDRO DE ALCANTA,1904145.0699999998,38339,49.66600772059782,5194.051,0.708,4.82,144387336.1,104390853.22999999,34347.33
DONA FRANCISCA,2321277.1199999996,2999,774.0170456818938,114.149,0.697,31.25,17545431.759999998,14104977.549999999,24391.42
DR. MAURICIO CARDOSO,6082740.02,4462,1363.2317391304348,255.731,0.706,51.28,27465603.25,19560662.799999997,42284.55
DR. RICARDO,2220808.43,1975,1124.4599645569622,107.976,0.724,90.91,13955640.06,11586354.2,26187.1
ELDORADO DO SUL,18072419.330000002,41902,431.30206982960243,509.614,0.717,7.01,143141609.1,107529168.47999999,39551.13
ENCANTADO,15844280.590000004,22880,692.4947810314687,140.006,0.767,6.85,83996529.03999999,70043856.89,39380.74
ENCRUZILHADA DO SUL,15784617.289999997,25960,608.0361051617873,3348.447,0.657,14.18,83090590.67999999,64389715.949999996,20766.94
ENGENHO VELHO,1432592.34,982,1458.8516700610999,71.191,0.717,27.03,15833632.030000001,12210941.07,45607.32
ENTRE RIOS DO SUL,5286272.249999999,8411,628.4950957080014,552.986,0.68,20.62,36987099.47,30083897.799999997,47488.62
ENTRE-IJUIS,8393971.010000002,2758,3043.4992784626547,119.912,0.703,33.33,19511339.04,17850418.83,68317.58
EREBANGO,3760613.09,2982,1261.1043226022803,152.793,0.712,21.74,20441522.75,16206073.290000001,36857.45
ERECHIM,45877581.01,106633,430.2381158740727,429.164,0.776,7.46,297865902.04,234782887.61,47080.69
ERNESTINA,4622772.460000001,3170,1458.2878422712936,238.558,0.716,24.39,17830522.49,16484880.6,45663.19
ERVAL GRANDE,4099868.54,6814,601.6830848253595,1759.717,0.687,14.29,28658593.95,24296955.99,19618.79
ERVAL SECO,5998072.769999999,4819,1244.6716683959326,285.677,0.681,31.75,19814675.220000003,18720856.34,19210.49
ESMERALDA,5986995.77,6802,880.1816774478094,357.181,0.685,12.5,23586094.33,21304918.42,32927.94
ESPERANCA DO SUL,3070550.4000000004,3287,934.1498022512931,829.587,0.68,37.04,22041434.150000002,19059471.16,65767.96
ESPUMOSO,13255873.59,2885,4594.75687694974,148.909,0.661,26.32,19298559.55,14366558.24,24151.55
ESTACAO,5757303.260000001,15591,369.27094221024953,783.642,0.765,10.15,57995077.67,50633655.35,49684.93
ESTANCIA VELHA,17730663.689999994,5940,2984.960217171716,99.757,0.753,13.89,26085940.56,20326088.44,60033.72
ESTEIO,64161513.49000001,50672,1266.2123754736344,51.779,0.757,15.27,148029472.19,120403419.41,29630.14
ESTRELA,20014632.630000003,83279,240.3322882119142,27.676,0.754,11.75,301406726.28000003,262107480.57000002,38249.4
ESTRELA VELHA,4572352.250000001,34399,132.92108055466733,185.026,0.767,11.11,118768302.72000001,103991011.67,43585.52
EUGENIO DE CASTRO,5208879.01,3650,1427.0901397260272,281.613,0.679,33.33,24031649.66,17907964.240000002,35090.1
FAGUNDES VARELA,3541708.9399999995,2352,1505.8286309523808,418.069,0.712,38.46,21153809.36,16704119.709999999,84768.84
FARROUPILHA,53896003.32,2741,19662.897964246626,134.295,0.763,142.86,19562560.08,15657151.959999999,28469.52
FAXINAL DO SOTURNO,3440975.46,73061,47.09729486319651,361.372,0.777,5.72,258342460.53,212320934.37,47878.78
FAXINALZINHO,2560390.9099999997,6663,384.2699849917454,169.514,0.72,15.87,28791682.87,21258781.72,30334.78
FAZENDA VILANOVA,3745590.67,2284,1639.9258625218913,143.321,0.666,38.46,13925320.620000001,12444132.58,28025.65
